id,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10
1000092795,boy,check,couple,garden,hedge,person,man,shirt,stand,woman
10002456,attach,construction worker,crane,equipment,hook,person,lift,man,pole,power line
1000268201,shed,barrel,cage,chicken coop,child,climb,doll,dress,girl,hay
1000344755,clock,blue,brick building,building,construction worker,ladder,man,office building,overall,repair
1000366164,cook,exhaust hood,food,frying pan,home appliance,kitchen,kitchen counter,kitchenware,laugh,man
1000523639,bass guitar,dress,guitar,guitarist,instrument,man,play,rock band,stand,tool
1000919630,animal,armchair,catch,chair,doll,hug,lap,man,pet,squat
10010052,blue,car,smartphone,curb,girl,skate,pavement,phone,ride,roller skate
1001465944,building,cigarette,pillar,conversation,dress,fence,person,man,rail,stand
1001545525,balustrade,swimwear,boardwalk,boy,flip,handstand,jump,ledge,man,muscle
1001573224,ballerina,ballet,ballet dancer,ballet skirt,dance,dancer,doorway,floor,girl,learn
1001633352,balustrade,boy,flight,jump,person,man,rail,skateboarder,stair,stunt
1001773457,black,brown,chase,dog,fight,neckband,play,road,toy,white
1001896054,construction worker,drive,equipment,green,jumpsuit,man,mower,ride,safety vest,tractor
100197432,bangs,brunette,building,city,city bus,crowded,girl,goggles,person,road
100207720,cake,chocolate cake,table,dinning table,plate,food,fork,frying pan,kitchen table,pastry
1002674143,brush,child,color,draw,floor,girl,grass,lush,paint brush,play
1003163366,bench,boardwalk,bulldog,dog,lay,leash,man,park bench,pet,rail
1003420127,armchair,bookshelf,lamp,chair,conversation,person,living room,room,wall lamp,sit
1003428081,clarinet,flute,hautboy,person,instrument,living room,music,play,recorder,violin
100444898,boat,dark,debris,canoe,person,man,night,rail,ramp,stand
1005216151,city,city street,pillar,crowd,crowded,hand,person,man,pavement,road
100577935,barber,barber shop,chest,check,client,cosmetic,hair,haircut,man,muscle
1006452823,boy,child,couple,dirt field,floor,girl,log,park,park bench,picnic table
100652400,chalk,cone,construction worker,direct,draw,intersection,man,mark,red,ride
1007129816,cup,goggles,hat,man,sun hat,wear,,,,
100716317,trench coat,artist,blue,brush,canvas,coat,draw,drawing,easel,person
1007205537,broom,building,cart,clean,drag,floor,man,swab,pant,plaza
1007320043,child,climb,girl,net,obstacle course,pink,play,playground,red,rope bridge
100759042,boy,hand,food,green,jacket,lap,man,passenger train,sit,subway
10082347,baseball bat,bat,catch,hand,jacket,man,pole,rail,stand,tennis racket
10082348,bathroom,beverage,can,catch,drink,hand,man,restroom,selfie,soda
100845130,profile,horizon,person,man,sea,palm tree,sky,stand,sun,sunset
10090841,alcohol,trench coat,beer,beverage,conversation,table,dinning table,drink,restaurant,man
1009434119,backyard,black,brown,bulldog,chase,dog,fence,grass,grassy,green
1009692167,ambulance,dog,guard,leash,man,officer,police van,police,police dog,shepherd
101001624,bicycle,bicycle helmet,biker,blanket,snowstorm,cycle,helmet,person,jacket,man
1010031975,car,conversation,man,minivan,open,shirt,stand,suv,talk,tie
1010087179,apron,assembly line,cart,cloth,transporter,equipment,factory,loom,machine,man
1010087623,alcohol,apron,assembly line,beverage,bottle,can,cart,container,transporter,fan
10101477,broom,clean,cleaner,costume,dress,floor,garment,person,man,monk
1010470346,bicycle,biker,building,car,construction worker,person,man,park,safety vest,stand
1010673430,child,hand,floor,food,girl,grass,mouth,park,pink,shirt
101093029,baby carriage,building,city square,crowded,person,mill,motorcycle,office building,pavement,plaza
101093045,building,pillar,concept car,floor,person,man,plaza,robot,sculpture,silver
1011572216,alley,wedding dress,bride,groom,building,cocktail dress,pillar,couple,dress,garment
1012150929,arcade,arcade machine,boy,child,game,machine,play,playroom,toy,video game
1012212859,ball,beach,dog,neckband,sea,play,red,sand,shore,shoreline
1012328893,condiment,table,food,gathering,person,park,picnic,picnic area,picnic table,stall
101262930,bench,bus stop,couple,goggles,man,park bench,pole,pose,sit,smile
1013536888,beverage,cooler,eat,fair,food,person,man,park,picnic area,picnic table
101362133,art,belt,boy,carpet,floor,floor mat,gym,karate,kick,man
101362650,art,athletic,belt,child,competitor,fight,floor,person,karate,kick
1014609273,balcony,balustrade,boy,building,pillar,person,khaki,ladder,man,rail
101471792,city,city street,coat,crowded,hat,person,jacket,man,red,road
1014785440,back,boy,carry,child,family,father,girl,man,road,shoulder
1015118661,apron,baseball bat,boy,child,gun,hammer,jeans,lamp post,man,overall
1015584366,black,dog,fall,gray,jump,log,neckband,tree,tree trunk,wood
101559400,city,city street,cross,crowded,person,man,road,street corner,urban,walk
1015712668,bicycle,bicycle helmet,biker,bridge,building,bus stop,canopy,cycle,person,man
10160966,barbecue,barbecue grill,beverage,can,catch,cup,paper cup,floor,food,fork
101654506,blanket,brown,chase,dog,jump,run,snow,snowball,snowy,white
1016626169,city street,crowd,crowded,collect,goggles,person,man,motorbike,motorcycle,road
101669240,blanket,easel,floor,person,man,pole,ski,ski pole,skier,snow
1016887272,wall,climb,climber,rope,person,man,red,stone,rock climber,rock climbing
1017675163,arena,athletic,balance,swimwear,beam,bend,contest,floor,girl,gymnast
1018057225,grass,lawn,man,mower,plastic,play,push,raft,slide,toy
1018148011,back,blanket,dirt field,hay,person,load,man,mound,peak,pick up
101859883,trench coat,balcony,balustrade,binocular,smartphone,check,city,city view,coat,floor
10188041,car,illuminate,man,red,sculpture,shape,stand,street artist,,
1019077836,brown,chase,dog,garden hose,grass,green,hose,lawn,lush,run
101958970,cart,daughter,father,girl,lap,laugh,man,market,pink,push
1019604187,ball,chase,dog,grass,mouth,play,run,toy,white,yard
102030371,cigarette,table,dinning table,hand,food,green,person,jaw,man,napkin
1020651753,ball,CD,chase,dog,field,grass,grassy,green,jump,lush
1021293940,blanket,creek,floor,hike,hiker,hillside,man,snow,snowy,stand
1021332107,beard,bureau,cabinet,catch,dollhouse,drawer,dresser,man,room,stand
1021439420,board game,carpet,fireplace,floor,living room,man,play,room,sit,sweatshirt
1021442086,back,baseball hat,car,car window,man,map,red,seat,shirt,sit
1022454332,boy,child,city,city park,fly,person,lake,park,play,pond
1022454428,baby,baby carriage,floor,grass,person,lake,man,park,park bench,relax
102268204,shed,bus stop,canopy,car,guard,license plate,man,minivan,night,officer
1022975728,black,dog,laboratory,neckband,sea,play,surf,swim,water,wave
102351840,blanket,equipment,fishing pole,frozen,person,ice,skate,lake,man,pole
1024138940,beach,brown,chase,dog,neckband,sea,play,run,sand,
102455176,blue,climb,climber,rope,frozen,hang,helmet,person,ice,ice cave
1024613706,couple,field,grass,grassy,green,hill,person,lush,man,pasture
102520526,blanket,snowstorm,broom,clear,person,man,pavement,pole,road,shovel
102575576,wedding dress,bride,groom,cake,cocktail dress,couple,cut,table,footstall,person
102617084,blanket,floor,goggles,person,man,ski slope,skier,snow,snowboarder,snowmobile
1026685415,ball,black,catch,dog,grass,green,laboratory,labrador,lush,mouth
1026792563,daikon,farmer market,floor,garlic,person,market,onion,potato,produce,sell
1027149103,band,cheer,concert,crowd,crowded,festival,hand,guitar,instrument,man
1027211271,boy,flip,jump,person,skate,jeans,ledge,man,perform,rail
1028205764,boat,paddle,boy,calm,child,rowboat,canoe,kayak,lake,man
102851549,boy,chair,child,dress,pavement,porch,rocking chair,sandal,sit,stand
102860573,barricade,barrier,construction site,construction worker,hydrant,ladder,man,pole,road,safety vest
10287332,building,construction worker,ladder,man,repair,roof,job,worker,,
1028982826,advertisement,bench,billboard,bus stop,goggles,person,luggage,man,park bench,poster
1029450589,armchair,bottle,couch,lay,living room,man,pillow,relax,room,sleep
1029737941,boy,child,crowd,crowded,earphone,hand,girl,person,music,wear
1029802110,carry,catch,crowd,crowded,flag,person,man,march,parade,road
102998070,box,buy,container,crate,crowded,fish,fish market,food,man,market
1030041880,concert,dress,girl,green,instrument,microphone,perform,polka dot,sing,stage
103031977,balustrade,brick building,building,girl,person,man,pose,sit,stair,woman
1030985833,bite,black,brown,CD,pillar,dog,fight,floor,frisbee,laboratory
103106960,bend,child,floor,girl,goal,hockey,hockey player,hockey stick,net,play
103195344,art,building,glass building,person,man,office building,plaza,sculpture,sit,stair
1031973097,baby carriage,baseball bat,baseball hat,bat,blue,boy,cage,catch,child,fence
103205630,blanket,blue,floor,frozen,person,ice,man,skier,sleigh,snow
1032122270,chase,cloudy,dog,field,grass,grassy,green,greyhound,hill,hillside
1032460886,building,city,man,office building,pink,tower,rise building,shirt,sky,skyscraper
103306033,baby,baby carriage,brown,child,dress,path,lap,park,push,walk
103328091,bin,canopy,cart,coconut,food stand,footstall,fruit,fruit stand,green,man
1033767085,boy,chair,child,table,dinning table,plate,eat,food,girl,kitchen table
1034276567,bite,boy,child,table,eat,food,hot,hot dog,paper plate,picnic table
1034985636,amplifier,band,bass guitar,concert,drummer,electronic,guitar,guitarist,instrument,man
1035019794,ball,baseball player,baseball,baseball bat,baseball glove,baseball uniform,bat,batter,beat,catcher
10350842,boat,paddle,calm,cruise ship,rowboat,canoe,ferry,person,kayak,lake
1035392784,bass guitar,concert,drummer,guitar,guitarist,hair,instrument,man,play,rock band
103625356,bend,cement,concrete,cone,construction site,construction worker,curb,debris,floor,man
103631543,table,dinner,dinning table,plate,restaurant,food,person,meal,platter,silverware
1039360778,blanket,cloth,field,floor,girl,grass,grassy,green,person,lay
103953336,bridge,cloudy,profile,cross,dark,person,man,pedestrian bridge,rope bridge,sky
1039637574,wedding dress,bride,groom,business suit,cocktail dress,pillar,dress,dress suit,fountain,garment
10404007,baby,boy,child,dandelion,field,grass,grassy,green,laugh,lush
1040426962,barbecue grill,cage,catch,crate,dog,floor,food,grill,man,pet
104136873,hiker,hill,hillside,person,man,mountain,peak,relax,sit,stand
104180524,balustrade,bridge,person,lead to,park,pond,rail,ramp,red,stair
1042020065,balustrade,baseball uniform,boat,boy,child,crowded,canoe,green,harbor,kayak
1042359076,cart,chair,child,cob,family,food,food stand,girl,person,man
1042590306,bench,beverage,coffee,coffee cup,couple,hot,person,laugh,man,park bench
104285082,chair,clarinet,flute,hautboy,person,instrument,lecture hall,lecture room,man,music
1043819504,doorway,collect,person,hut,igloo,skier,snow,snowboarder,snowshoe,stand
1043910339,ball,baseball player,baseball,baseball game,baseball glove,baseball uniform,bat,batter,boy,catcher
1044434135,basket,bicycle,city street,crowded,cycle,person,man,motorbike,ride,road
1044764620,building,climb,doorway,garage,garage door,ladder,man,repair,shirt,stand
1044798682,building,construction site,construction worker,ladder,man,repair,scaffold,shirt,stand,job
1045124251,coach,crowded,cup,glasses,man,ride,stare,subway,train,train car
1045309098,bag,bus,carry,cross,crosswalk,girl,paper bag,pedestrian,road,shopping bag
1045521051,curb,dark,floor,food,person,man,sit,stool,television,
10459869,canteen,chopstick,convention,crowded,table,eat,food,food court,person,lunch
104669470,balance,banana,beach,carry,food,fruit,head,load,sea,pineapple
104700891,check,water tank,trench,floor,hole,jacket,land,man,shovel,stand
104763189,bicycle,boy,child,play,pose,ride,shirtless,stand,,
1047921035,beekeeper,cook,food,hot,man,smoke,stand,steam,stir,tub
104816788,baby,blanket,catch,foot,lap,lay,pink,purple,sock,stripe
104824673,bead,cob,corn,cosmetic,earring,face,forehead,head,headdress,jewellery
104835889,art,belt,black,catch,floor,karate,man,martial,mat,robe
1048710776,beach,seawall,wall,coast,crowded,person,kite,ledge,sea,relax
1049955899,creek,canyon,path,hike,hiker,person,khaki,man,narrow,ravine
105077209,business suit,cocktail dress,floor,man,room,stand,suit,tie,wear,wood floor
1051205546,broom,clean,cleaner,cloth,floor,person,swab,pavement,sari,wash
1051290485,bend,black,curb,floor,path,girl,ledge,park,pavement,sit
1051953669,ball,chase,dress,girl,grass,grassy,lawn,lush,play,run
105223874,blue,boy,child,pillar,doorway,floor,hay,play,sandal,sit
1052358063,boy,building,child,pillar,doorway,ledge,skateboard,skateboarder,stair,stand
1053116826,boy,child,cob,floor,girl,grass,laugh,lush,play,sit
1053243591,alcohol,beer,beverage,blue,canopy,chair,hand,food truck,person,man
105335409,bus,car,coach,smartphone,city bus,crowded,person,man,phone,talk
105342180,swimwear,boat,paddle,calm,canoe,goggles,person,kayak,lake,oar
1053804096,swimwear,beach,pigtail,girl,sea,water,,,,
1054620089,trench coat,coat,dress,jump,jacket,jeans,overcoat,red,shopping bag,smile
105493603,appetizer,couple,table,dinner,dinning table,plate,food,man,platter,pose
105493628,chandelier,table,dinning table,plate,restaurant,food,wine,platter,potato,scoop
1055623002,bed,bedroom,child,girl,jump,pillow,play,sleepwear,wrestle,
1055753357,balustrade,building,construction site,construction worker,glass building,safety helmet,ladder,ledge,man,office building
1056198351,appliance,apron,bib,blender,boy,child,dough,flour,food,food processor
1056249424,boy,child,couple,hose,park,play,puddle,spray,sprinkler,water
1056338697,blue,car,catch,city street,dress,hand,muscle,road,woman,
1056359656,armchair,book,boy,chair,child,couch,girl,lap,paperback book,read
1056415186,chair,floor,food,girl,ipad,laugh,tablet,sit,stool,tablet computer
105685221,athletic,curb,person,jog,marathon,park,race,road,run,runner
1056873310,beach,brown,chase,coast,dog,floor,sea,play,stone,rocky
1057089366,swimwear,boy,child,dive,diving board,flip,jump,person,man,pool
1057210460,black,building,pillar,doorway,elevator,man,office building,stand,storefront,wear
1057251835,beach,chase,coast,dog,footprint,sea,stone,run,sand,shoreline
105806535,barrel,bath,bubble,hot,jacuzzi,lay,liquid,man,muscle,relax
1059514525,baby carriage,building,bus,bus stop,chair,city bus,curb,person,man,park bench
10602072,apple tree,child,climb,girl,hillside,jump,lush,play,stand,tree
106027774,back,car,car seat,car window,man,relax,seat,seat belt,sleep,
106027978,back,bed,blanket,car,car seat,girl,lay,pillow,seat,shirt
106039369,brush,cabinet,ceiling,cook,exhaust hood,flip,food,frying pan,home appliance,kitchen
1060605297,ambulance,car,equipment,fire truck,fireman,ladder,man,night,officer,stand
1061467336,ambulance,building,car,crane,equipment,fire,fire truck,fireman,hose,ladder
1061887159,beach,boat,coast,fish,fisherman,fishing boat,fishing net,collect,person,man
106300392,barrier,blue,wall,ceiling,construction site,construction worker,hat,ladder,man,overall
106356264,blanket,bulletin board,CD,magazine,man,newsstand,sell,stall,stand,store
10637120,cement,construction site,construction worker,crane,excavator,dirt field,dirt track,dozer,equipment,fishing net
106372282,appliance,baker,bakery,ceiling fan,couple,dough,food,home appliance,person,kitchen
1063866640,swimwear,beach,profile,person,man,sea,relax,stone,sit,sun
106490881,swimwear,beach,boy,catch,child,laugh,sea,play,shirtless,short
106514190,blanket,hill,person,man,mountain,peak,ski slope,ridge,ski,skier
1065323785,bicycle,biker,boy,car,construction worker,dirt track,dozer,person,land,man
1065831604,bicycle,bicycle helmet,biker,competitor,helmet,line,man,puddle,race,ride
1066252238,bicycle,bicycle helmet,boy,child,dirt field,dirt track,hill,land,mound,play
1066831905,bend,brush,bush,cane,car,floor,help,person,khaki,man
106691539,dentist,doctor,equipment,mask,nurse,operate,operating room,operation,patient,perform
1067180831,black,Border collie,catch,CD,dog,frisbee,grass,green,jump,lush
1067675215,back,car,parking lot,floor,person,lay,license plate,man,minivan,open
1067790824,beach,black,brown,chase,dog,mound,play,run,sand,sand castle
1068427675,alley,ball,bend,bowl,bowling,bowling alley,bowling ball,driveway,person,man
106959209,back,donkey,horse,horseback,man,mule,ride,stone,rock face,rock formation
107022557,armchair,lamp,couch,couple,person,lap,lay,living room,man,picture frame
1071201387,bus stop,chair,construction worker,curb,floor,folding chair,person,man,safety vest,sign
1072153132,ball,black,Border collie,chase,dog,field,grass,grassy,green,jump
1072439304,ball,baseball,baseball bat,baseball glove,baseball uniform,bat,batter,beat,boy,catch
1073145694,athlete,athletic,bat,wand,catch,dirt track,spear,man,pole,shirt
107318069,balloon,crowd,event,festival,floor,gathering,hot,hot air balloon,person,sky
1073444492,book,bookshelf,chair,computer,computer chair,computer desk,table,file cabinet,man,office
107368840,armchair,book,chair,couch,girl,person,lap,picture frame,read,relax
10751489,candle,floor,person,man,night,torch,vigil,,,
107532584,crowded,person,man,pavement,pink,plaza,road,stand,sweatshirt,walk
1075716537,bicycle,bicycle helmet,boy,child,dirt track,goggles,helmet,learn,ride,wear
107582366,basement,beam,ceiling,pillar,conversation,table,dinner,dinning table,drink,food
1075867198,beach,black,chase,coast,dog,fly,frisbee,man,sea,play
1075881101,swimwear,blanket,face,foam,man,powder,spray,tube,wash,
1076460267,swimwear,boat,crowd,crowded,float,person,motorboat,sea,raft,relax
1076503761,alcohol,swimwear,beverage,bikini,bikini top,boat,boat ride,bottle,drink,girl
1077546505,swimwear,boy,child,girl,play,pool,shirtless,slide,splash,toy
1077931201,arm,swimwear,boy,father,flip,handstand,lift,man,palm tree,sky
1078621572,back,carry,cart,curve,highway,person,load,pick up,ride,road
1079013716,apron,buffet,chef,condiment,conversation,cook,couple,exhaust hood,food,home appliance
1079274291,boy,child,floor,laugh,play,slide,stand,,,
107936523,cement,construction site,construction worker,debris,fly,grind,grinder,hammer,iron,man
107969134,arm,baby,boy,catch,child,man,shirt,shoulder,woman,
1079742005,cross,hill,hillside,person,man,sea,peak,pole,stand,white
107985741,blanket,floor,collect,gathering,grass,grassy,person,lake,park,relax
1080230428,ball,swimwear,beach,beach volleyball,game,person,man,play,sand,shirtless
108149945,blanket,dress,floor,goggles,person,jumpsuit,man,ski slope,pole,shovel
10815824,bonfire,campfire,pony,fire,fire pit,horse,girl,man,pet,stand
1081595465,construction worker,crew,equipment,fire truck,person,man,mechanic,night,railroad,repair
1082110795,baseball hat,blue,car,damage,hat,hood,load,man,mechanic,pick up
1082223338,bend,carpet,cement,floor,floor mat,ladder,man,mat,overall,pavement
1082250005,apron,bakery,baseball hat,blackboard,bulletin board,catch,coffee shop,corkboard,food,menu
1082252566,brown,chihuahua,dog,floor,leash,stand,stare,,,
1082379191,swimwear,cigarette,couple,lake,man,park,park bench,picnic table,relax,shirt
1082478946,construction worker,crew,person,man,rail,railroad,safety vest,train,train car,train track
1082608010,chain saw,construction worker,drill,equipment,floor,grinder,iron,man,metal,safety vest
1083240835,brush,cosmetic,eye,eyebrow,eyeliner,face,girl,lash,lipstick,makeup artist
1084040636,animal,dog,floor,fur,head,husky,kitchen floor,lay,paw,white
1084104085,wall,child,climb,climber,girl,stone,rock climber,rock climbing,rock face,shirt
1084527029,pillar,curb,line,moped,motorbike,motorcycle,park,pavement,row,scooter
108503753,air field,airport runway,floor,fly,green,helicopter,land,landing,lift,raceway
10863862,building,construction site,construction worker,green,ladder,man,repair,rise building,roof,safety vest
108656820,chair,costume,table,dinning table,dress,garment,collect,gathering,person,man
1087168168,swimwear,boy,child,jump,man,obstacle course,play,shirtless,slide,tube
1087539207,atv,child,field,girl,golf cart,lush,mower,play,ride,woman
1088385559,condiment,cook,plate,food,frying pan,home appliance,kitchen,kitchenware,meal,pan
1088767354,alcohol,swimwear,beverage,bikini top,bottle,boy,dress,drink,feather,garment
108898978,blanket,hill,person,man,pine,ski slope,ride,ski,ski pole,skier
108899015,blanket,hill,hillside,person,man,mountain,pine,ski slope,ride,ski
1089059626,blender,table,dinning table,food,liquid,living room,man,polo shirt,,
1089181217,brown,dirt road,dog,path,grass,mouth,neckband,road,run,
1089354362,balustrade,beverage,clipboard,coffee,journal,doorway,drink,girl,green,homework
108957912,building,city,city street,cross,crowded,person,intersection,pedestrian,road,stop light
108970557,armchair,chair,dress,flower,lap,necklace,pearl,sit,stool,throne
1089755335,boardwalk,child,dock,fish,fishing pole,girl,person,night,night view,sea
109083036,baseball bat,bat,boy,child,cricket,dirt field,game,man,play,swing
1091942526,boy,child,girl,grass,person,lap,laugh,sit,smile,woman
10919429,bend,car,check,field,green,hood,lush,man,mechanic,open
109202756,blanket,brown,pony,floor,horse,frozen,horseback,lake,ride,saddle
109202801,attach,blanket,bridle,brown,coach,cart,couple,draw,horse,man
1092437557,bicycle,catch,girl,grass,mountain bike,pose,smile,stand,vest,woman
109260216,cave,climb,climber,rope,crack,person,man,stone,rock climber,rock climbing
109260218,beam,cave,climb,person,man,mine,stone,rock formation,stand,torch
1093716555,blanket,break,desert,dirt field,floor,person,mountain,plain,relax,sit
1093737381,barn,blue,building,chalk,crayon,draw,dress,floor,pavement,red
109380144,boy,can,carpet,floor,person,laugh,living room,man,play,sit
1093807815,arm,bookshelf,cheer,child,class,classroom,hand,student,,
1094283901,swimwear,boy,seawall,dive,dock,jump,person,man,sea,rail
1094462889,blanket,brown,dog,floor,neckband,retriever,snow,snowy,stand,walk
1094606832,girl,machine,sewing machine,sew,wear,woman,job,,,
1094671386,crowded,hand,girl,person,man,moped,motorbike,motorcycle,ride,road
1095109931,apple,bin,bottle,buy,catch,check,container,farmer market,fruit,fruit stand
10951809,armchair,cane,carpet,chair,cloth,doorway,hut,log cabin,loom,man
109544260,blow,boy,bubble,floor,grass,jeans,nose,play,sit,soap bubble
1095476286,bend,boy,child,fountain,play,shirt,spray,sprinkler,stand,water
1095580424,barrel,black,Border collie,corgi,dog,jump,obstacle course,run,tire,tube
1095590286,black,brown,chase,dog,neckband,patch,play,run,tail,white
10956999,barbecue,barbecue grill,canopy,cook,couple,food,gazebo,grill,person,man
10957138,swimwear,beach,child,coast,girl,jump,sea,sand,shoreline,toy
1095980313,balance,balustrade,swimwear,beach,blue,boardwalk,girl,goggles,ledge,sea
109608573,balustrade,boy,building,cloth,clothe,clothesline,curtain,doorway,hang,laundry
1096097967,black,dog,paw,play,pool,shake,spray,stand,swimming pool,toy
1096165011,swimwear,boy,child,goggles,laugh,learn,pool,smile,swim,swimming pool
1096305461,baby,blue,boy,child,couch,pad,lay,pillow,sit,
1096395242,boy,catch,child,fireplace,floor,hardwood floor,lollipop,magnifying glass,nose,play
109656696,athletic,balance,beam,child,dress,floor,girl,gym,learn,mat
109671650,boy,child,cliff,ledge,peak,stone,rock face,rock formation,rocky,shirt
1096800382,beverage,conversation,couple,table,dinning table,drink,restaurant,food,juice,man
109738763,atv,dirt bike,evergreen,flip,jump,person,man,motorcycle,pine,pine forest
109738916,atv,blanket,evergreen,goggles,hill,person,man,motorbike,motorcycle,motorcyclist
109741554,building,construction worker,crane,equipment,lift,man,operate,remove,repair,roof
1097463464,beach chair,bend,chair,daybed,folding chair,home appliance,man,shirt,stand,stool
109770830,building,city,cloudy,glass building,person,modern,office building,rise building,sky,tree
1097710887,blow,bottle,bubble,catch,dandelion,dress,girl,grass,lollipop,spray
109823394,atv,crop,dirt bike,dry,field,hay,person,man,motorcycle,ride
109823395,atv,dirt bike,dirt field,dirt track,field,person,land,man,motorbike,motorcycle
109823397,atv,shed,building,corn field,dirt bike,hay,jump,person,hut,lift
1099034049,ball,swimwear,beach,beach ball,bikini top,girl,play,sand,sand castle,toy
1099434461,batter,butter,cook,crape,hand,flip,food,frying pan,griddle,person
109982467,barrel,bin,child,pillar,container,girl,person,man,stand,tank
1100214449,boy,child,fountain,jump,play,shirt,splash,spray,sprinkler,water
1100708949,animal,cow,path,hug,lush,pose,stand,tree,woman,
1101207553,anchor,boat,seawall,construction worker,crane,crew,cruise ship,dock,equipment,harbor
1101291373,bench,smartphone,doodle,green,man,park bench,phone,sit,talk,
1101923011,concert,crowd,crowded,guitarist,person,instrument,man,perform,shirt,shirtless
110201971,back,dirt field,elephant,person,hut,man,ride,sit,,
110226481,back,blue,car,load,man,park,pick up,repair,sit,truck
11026590,armchair,boy,child,computer,couch,girl,goggles,play,remote,sit
110269384,barrel,bundle,buy,carry,catch,crowded,floral arrangement,florist,flower,flower market
1102763701,assembly,crowd,flag,collect,gathering,person,scout,uniform,,
11034843,barrel,boy,ceiling,child,floor,hose,laugh,play,playroom,radiator
1104087374,swimwear,couple,hand,girl,goggles,man,mud,play,puddle,sand
1104133405,ball,boy,child,field,football,grass,jeans,kick,park,play
1104881373,apron,barista,blender,buy,coffee shop,food,girl,person,man,milkshake
1105137588,boy,cafe,conversation,table,drink,food,green,person,man,sit
110590591,assembly,catch,crowd,demonstration,flag,collect,person,march,protest,protester
1105959054,brush,catch,doorway,draw,drawing,pigtail,easel,girl,paint brush,palette
110595925,bicycle,bicycle helmet,biker,curve,cycle,highway,hill,hillside,person,man
110600869,chase,denim jacket,field,girl,grass,grassy,hair,jacket,jeans,lush
110613709,adjust,blue,bow tie,bureau,ceiling,check,dress shirt,electronic,equipment,laboratory
110615445,trench coat,couple,elevator,escalator,go,hug,kiss,man,paper bag,ride
110637863,ball,catch,crowd,football game,game,green,jump,man,play,player
110647073,handcart,building,cart,cement,construction site,construction worker,desert,dirt field,floor,person
1106644976,bench,brunette,cosmetic,floor,girl,goggles,headdress,person,park bench,pose
110671345,clothing store,gray,jeans,man,pavement,retail,shop window,shopping bag,store,storefront
110671448,bakery,baseball hat,bulletin board,crowded,food,person,man,stand,stool,store
110695011,bulletin board,catch,crowded,jacket,man,pavement,shop window,sign,stand,storefront
1107246521,ball,black,chase,dog,grass,jump,play,toy,yard,
1107471216,bicycle helmet,camera,catch,girl,goggles,gun,radio,selfie,smile,string
1107507919,bass,cello,instrument,music,musician,perform,play,ponytail,shirt,stool
1107716222,headscarf,balustrade,beam,black,brunette,pillar,dress,girl,gray,porch
