id,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10
0000599864fd15b3,bus,city bus,city street,decker bus,girl,person,photo,picture,pose,road
0000e8b36676338b,bus,car,decker bus,field,grass,grassy,green,license plate,lush,park
00010bf498b64bab,bus,car,city,city bus,city street,crowded,decker bus,drive,license plate,neon light
00012db06b98f573,blue,building,car,garage,gravel,green,jeep,license plate,park,pick up
00016982f6086d39,app,smartphone,icon,,,,,,,
0001a2f47097ee27,dress,ear,hair,headdress,necklace,stand,wear,white,woman,yellow
0001c6bf48e16ab2,blue,building,car,curb,license plate,minivan,park,parking garage,sedan,suv
000209d575f3aa4f,alcohol,shed,beverage,bottle,canopy,cart,condiment,food,food stand,food truck
000228608388803f,car,fence,gravel,license plate,minivan,park,van,white,,
0002c799b0cd7412,bulletin board,bureau,can,girl,home appliance,ponytail,room,shirt,sit,stool
0002cb8d8ea5eb7e,green,person,lamp post,man,passenger train,pavement,pole,rail,railroad,sign
0002d070329eb0fc,balance,car,crowd,crowded,flip,gymnast,handstand,jump,person,lift
0002f9c7fac5f093,art,atrium,blanket,wall,building,car,ceiling,doodle,person,mural
00035b31f27829d6,swimwear,bikini top,brunette,girl,pose,underclothes,woman,,,
000384bb6da4764b,attach,smartphone,electronic,phone,sticker,writing,,,,
000421a4ed497ea4,container,table,food,frying pan,ladle,liquid,milk,mixture,pan,pot
00043e7c5c4c025a,car,drive,fog,foggy,headlight,light,license plate,night,night view,rear light
00048f37069b6aa8,airliner,plane,airport runway,cloudy,floor,jet,land,raceway,sky,tail
0004c9478eeda995,building,taxi,car,city street,corner,drive,pass,road,store,storefront
00054dab88635bdb,baby carriage,car,car show,classic,display,fire truck,person,park,pick up,red
0005dcda3040dab3,brunette,club,girl,party,pose,shirt,white,woman,,
00066af7b52f505c,attach,clock,brick building,building,car,corner,pole,road,stop light,traffic light
00068a9d975dcc8a,appear,comedy,man,officer,poster,sailor,salute,uniform,woman,
0006dc0977056410,ambulance,car,cone,drive,highway,license plate,overpass,police van,road,traffic cone
0007a5a18213563f,building,flag,sculpture,sky,,,,,,
0007b54189a67423,blanket,book,book cover,key,tool,,,,,
0007f2c11800286e,alcohol,bottle,lamp,wine,label,shelf,sit,wine bottle,wine glass,
000811dda0037f67,building,city,city street,city view,crowd,crowded,person,road,skyscraper,street scene
0008860dad1f9510,baseball bat,bat,blanket,CD,cinema,DVD,fiction,movie poster,poster,
000957f9cbd14b35,book,computer,keyboard,table,sit,,,,,
000a1a700c0c7950,app,smartphone,icon,image,phone,screen,screenshot,,,
000a533ef1b9cacf,album,black,blanket,book,book cover,fiction,hardback book,poster,sign,writing
000adfe5b817011c,bench,brick building,building,person,man,red,retail,sit,store,storefront
000aecd78b230135,alcohol,beer,beer bottle,bottle,person,man,pose,sit,woman,
000b9d6c0f7d794d,book,fiction,,,,,,,,
000bb81adefe7332,bookstore,bulletin board,person,plaque,post,sign,writing,,,
000bd0b4fa27644c,building,car,city,city street,crowded,drive,person,tower,road,traffic light
000c91f4578d37a6,arm,baby,catch,man,pose,shirt,smile,stand,woman,
000ca4a1855318b1,candy bar,chocolate,chocolate bar,table,plate,food,microscope,paper plate,platter,treat
000d96ad76e6b834,crayon,table,floor,person,mark,sign,stand,stool,write,writing
000e3e4f5c6c454d,back,battery,circuit board,cloth,computer,pad,table,electronic,flip,laptop
000e97147fa9e763,blue,box,cloud,rainbow,shirt,sky,t shirt,t-shirt,unicorn,
000ed967c71e566f,actor,catch,curtain,hand,footstall,man,perform,sing,stage,stand
000f234939e98c68,ball,basketball,basketball court,basketball game,basketball player,basketball team,court,game,gym,person
000f78a66fd29c49,screenshot,text,text message,,,,,,,
000fd38f35d0ad0c,business suit,graph,give,speech,man,plot,podium,presentation,screen,speaker
00101ca6983dde74,blue,brick building,building,car,corner,park,photo,red,street corner,street sign
0010f2581775d795,building,car,jeep,park,sign,suv,vehicle,white,,
0010f4c10f7ab07e,car,city street,cross,person,license plate,pavement,road,street corner,street scene,street sign
001156eb13f37194,black,building,bumper,car,garage,garage door,headlight,license plate,miniskirt,park
0012836b7cb7e1a8,catch,pillar,flag,footstall,give,person,speech,man,podium,sign
00130c2588695b00,alcohol,beverage,bottle,catch,container,hand,person,label,liquid,milk
00137de5b77904f3,blanket,brand,cinema,design,flyer,logo,poster,poster page,,
0013a4847289b1e5,swimwear,cheer,cheerlead,pillar,dress,girl,pose,stand,stool,woman
001512d120e1e800,bin,cage,cat,crate,lay,palette,pet,sit,,
00155bc9538a26ed,car,parking lot,car show,classic,license plate,park,pick up,yellow,,
0015f300e061c1f3,blanket,copy,paper,poster,writing,,,,,
00160ca5be682aca,car,person,man,mechanic,pose,race car,shirt,smile,stand,white
